Latitude,Longitude
43.6237921,7.0603838
43.6238611,7.0601925
43.623881,7.0601101
43.6239116,7.0601177
43.6239426,7.0601164
43.6239728,7.0601061
43.6240007,7.0600873
43.6240252,7.0600609
43.6240452,7.060028
43.6240597,7.0599901
43.6240682,7.0599489
43.6240703,7.0599054
43.6240656,7.0598623
43.6240545,7.0598215
43.6240373,7.0597849
43.6240149,7.0597542
43.6239883,7.0597308
43.623962,7.0597156
43.6239797,7.059606
43.6240849,7.0588928
43.624103,7.0588249
43.6241583,7.058658
43.6242307,7.058528
43.6243211,7.0584151
43.6245606,7.0581759
43.6246717,7.0580162
43.6247513,7.0578262
43.624774,7.0576861
43.6247751,7.0575526
43.6247641,7.0574259
43.6247469,7.057313
43.6247418,7.0572728
43.6247286,7.057219
43.6247593,7.0571976
43.6247858,7.0571674
43.6248069,7.0571298
43.6248214,7.0570867
43.6248294,7.057024
43.6249111,7.0568513
43.6251395,7.0565928
43.6253024,7.0564239
43.6254819,7.0562663
43.6264401,7.0555397
43.6265469,7.0554522
43.6266206,7.0553812
43.6266856,7.0552954
43.6267329,7.0552023
43.6267741,7.0550682
43.6267969,7.0549326
43.6269009,7.0541405
43.6269068,7.0540975
43.6269227,7.0539782
43.6269466,7.0537986
43.6269537,7.0537454
43.6269736,7.0535966
43.6269947,7.0534382
43.6270268,7.053197
43.6270588,7.0530324
43.6270557,7.0528795
43.6270226,7.0527186
43.6269901,7.0526215
43.6269667,7.0525578
43.6269711,7.0525178
43.62697,7.0524774
43.6270159,7.0523857
43.627075,7.0522834
43.6271375,7.0522727
43.6271811,7.0522668
43.6272203,7.0522762
43.6272696,7.0522989
43.6273156,7.0523292
43.6273516,7.052371
43.6273753,7.0524205
43.6274193,7.0525209
43.6275022,7.0527155
43.6275711,7.0528874
43.6276066,7.0529507
43.6276454,7.0530048
43.6276949,7.0530546
43.6277258,7.0530768
43.6277533,7.0530797
43.6277826,7.0530726
43.6278096,7.0530516
43.6278402,7.0530073
43.6278526,7.0529872
43.627923,7.0526221
43.6279616,7.0524084
43.6279882,7.0522555
43.6279978,7.0522073
43.6280265,7.0519792
43.6280427,7.0518011
43.6280441,7.0516037
43.628029,7.0513884
43.628004,7.0511486
43.6279783,7.0509706
43.6279346,7.0507655
43.6278976,7.0506268
43.6278653,7.0505173
43.6276791,7.0499923
43.6275638,7.0496695
43.6275148,7.0495326
43.6274664,7.0493971
43.6273671,7.0491191
43.6273469,7.0490626
43.6272615,7.0488454
43.6272253,7.0487702
43.6272019,7.0487273
43.6270784,7.0485649
43.6270262,7.0485059
43.6269632,7.0484481
43.6268065,7.0483338
43.6266546,7.0482146
43.6265795,7.0481516
43.626495,7.0480633
43.626414,7.0479638
43.6263233,7.0478135
43.6259633,7.0471789
43.6258832,7.0470083
43.6258202,7.0468273
43.6257776,7.0466287
43.6257587,7.0464911
43.6257495,7.0462962
43.6257545,7.0461649
43.6257661,7.0460352
43.6257922,7.0458835
43.6258329,7.0457324
43.6259127,7.045486
43.626006,7.0452521
43.6260408,7.0451639
43.6261016,7.0450216
43.6261636,7.0448974
43.6262468,7.0447545
43.6262627,7.0447273
43.6264413,7.044471
43.6265659,7.0443312
43.6267056,7.044207
43.6269034,7.0440593
43.6270148,7.0439901
43.6272277,7.0438841
43.6273328,7.0438112
43.6274218,7.0437238
43.6274831,7.0436376
43.6275359,7.0435324
43.6275816,7.0433424
43.6275987,7.0432114
43.6276051,7.0431275
43.6276185,7.0429532
43.6276374,7.0428075
43.6276633,7.042699
43.6277117,7.0425776
43.6277775,7.0424715
43.6278285,7.0424134
43.6279363,7.0423201
43.6285022,7.0419318
43.6288539,7.0416872
43.628983,7.0415541
43.6290763,7.041381
43.629149,7.0411587
43.6291853,7.0409099
43.629232,7.0407935
43.6292624,7.0408238
43.6292977,7.0408408
43.6293351,7.040843
43.6293714,7.0408304
43.6294035,7.040804
43.62943,7.0407635
43.6294464,7.0407139
43.6294512,7.0406597
43.629444,7.040606
43.6294253,7.0405579
43.6293987,7.0405216
43.6293657,7.0404973
43.629329,7.040487
43.6292917,7.0404918
43.629257,7.040511
43.6292277,7.0405433
43.62911,7.0403801
43.6290097,7.040178
43.6288824,7.0398182
43.6288607,7.0397572
43.6286982,7.0393089
43.6286549,7.0391266
43.6286272,7.0389555
43.6286114,7.0386729
43.6286237,7.0382834
43.6286125,7.0380605
43.6285948,7.0378673
43.6285608,7.0375392
43.6285459,7.0371752
43.6285411,7.0367642
43.6285289,7.0366772
43.628508,7.0365995
43.628468,7.0364959
43.6284177,7.03639
43.628366,7.0363224
43.6283283,7.0362729
43.6283054,7.0362565
43.6282439,7.0361988
